[0623/181000.824:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0624/151147.785:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151152.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151157.818:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151202.822:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151207.828:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151212.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151217.841:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151222.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151227.853:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151232.858:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151237.865:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151242.869:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151247.874:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151252.879:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151257.935:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
